cnpj;tipo;abertura;nome;fantasia;natureza_juridica;logradouro;numero;complemento;cep;bairro;municipio;uf;email;telefone;efr;situacao;data_situacao;motivo_situacao;situacao_especial;data_situacao_especial;capital_social
42498717010037;FILIAL;21/10/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - REALENGO;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RUA MARECHAL JOAQUIM INACIO;S/N;;21.735-320;REALENGO;RIO DE JANEIRO;RJ;;(21) 2299-2577;RIO DE JANEIRO;ATIVA;21/10/2008;;;;0.0
42498717009705;FILIAL;04/09/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - MARECHAL HERMES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RUA XAVIER CURADO;S/N;;21.610-330;MARECHAL HERMES;RIO DE JANEIRO;RJ;;(21) 2299-2577;RIO DE JANEIRO;ATIVA;04/09/2008;;;;0.0
42498717008644;FILIAL;27/02/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - BANGU;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RUA FIGUEIREDO CAMARGO;S/N;;21.870-210;BANGU;RIO DE JANEIRO;RJ;;(21) 2419-5657 / (21) 2419-5805 / (21) 2419-5948;RIO DE JANEIRO;ATIVA;27/02/2008;;;;0.0
42498717009101;FILIAL;14/07/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - RICARDO DE ALBUQUERQUE;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ESTRADA MARECHAL ALENCASTRO;S/N;;21.625-000;RICARDO DE ALBUQUERQUE;RIO DE JANEIRO;RJ;;(21) 2299-2577;RIO DE JANEIRO;ATIVA;14/07/2008;;;;0.0
02954994000372;FILIAL;16/03/2020;ANAESP - ASSOCIACAO NACIONAL DE APOIO AO ENSINO, SAUDE E POLITICAS PUBLICAS DE DESENVOLVIMENTO;MED HOSPITAL;399-9 - Associação Privada;RUA KONRAD ADENAUER;26;;29.304-501;SUMARE;CACHOEIRO DE ITAPEMIRIM;ES;medhospital@anaesp.org.br;(28) 3344-1370;;ATIVA;16/03/2020;;;;0.0
43535210000197;MATRIZ;31/12/1965;IRMANDADE DA SANTA CASA DE ANDRADINA;SANTA CASA;399-9 - Associação Privada;AVENIDA GUANABARA;730;;16.901-000;CENTRO;ANDRADINA;SP;;;;ATIVA;28/07/1998;;INTERVENCAO;23/05/2023;0.0
28064274000163;MATRIZ;02/06/2017;APAS-ASSOCIACAO DE PROTECAO E AMPARO A SAUDE;APAS;399-9 - Associação Privada;RUA CORONEL ALMERINDO REHEM;126;EMPRESARIAL COSTA ANDRADE SALA 1101 SALA 1102;41.820-768;CAMINHO DAS ARVORES;SALVADOR;BA;contato@apasgestao.org.br;(71) 9981-1089;;ATIVA;02/06/2017;;;;0.0
09055340000275;FILIAL;09/01/2019;ASSOCIACAO DE SAUDE, ESPORTE, LAZER E CULTURA - ASELC;HOSPITAL REGIONAL PUBLICO DO ARAGUAIA - HRPA;399-9 - Associação Privada;AV BRASIL;4244;;68.552-735;PARK DOS BURITIS;REDENCAO;PA;financeiro.hrpa@aselc.org.br;(94) 3424-9500;;ATIVA;09/01/2019;;;;0.0
68311216000101;MATRIZ;22/10/1992;ASSOCIACAO SAUDE DA FAMILIA;;399-9 - Associação Privada;PC MARECHAL CORDEIRO DE FARIAS;45/65;;01.244-050;HIGIENOPOLIS;SAO PAULO;SP;contabilidade@saudedafamilia.org;(11) 3154-7070/ (11) 3529-1550;;ATIVA;03/11/2005;;;;0.0
60742616000160;MATRIZ;24/08/1966;CASA DE SAUDE SANTA MARCELINA;HOSPITAL SANTA MARCELINA;399-9 - Associação Privada;R SANTA MARCELINA;177;;08.270-070;ITAQUERA;SAO PAULO;SP;;;;ATIVA;25/12/1999;;;;0.0
44364826000105;MATRIZ;30/08/1966;SANTA CASA DE MISERICORDIA DE ASSIS;SANTA CASA;399-9 - Associação Privada;PC DR SYMPHONIO A SANTOS;166;;19.807-155;CENTRO;ASSIS;SP;;;;ATIVA;03/11/2005;;;;0.0
50351626000110;MATRIZ;26/01/1979;BENEFICENCIA HOSPITALAR DE CESARIO LANGE;BENEFICENCIA HOSPITALAR DE CESARIO LANGE;399-9 - Associação Privada;AVENIDA SAO PAULO;340;;18.285-000;VILA BRASIL;CESARIO LANGE;SP;;;;ATIVA;24/09/2005;;;;0.0
50795566000125;MATRIZ;11/12/1979;BANCO DE OLHOS DE SOROCABA;;399-9 - Associação Privada;NABECK SHIROMA;210;SALA 1 TERREO;18.031-060;JD. EMILIA;SOROCABA;SP;bruno.garcia@bos.org.br;(015) 2129-000;;ATIVA;16/11/2002;;;;0.0
57571275000100;MATRIZ;07/03/1968;FUNDACAO DO ABC;FUABC - ORGANIZACAO SOCIAL DE SAUDE;127-9 - Fundação Pública de Direito Privado Municipal;AV LAURO GOMES;2000;;09.060-870;VILA SACADURA CABRAL;SANTO ANDRE;SP;contabilidade@fuabc.org.br;(11) 2666-5400/ (11) 2666-5432;MUNICÍPIO DE SAO BERNARDO DO CAMPO;ATIVA;03/06/1998;;;;0.0
66518267000183;MATRIZ;26/07/1991;CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM;;399-9 - Associação Privada;R DOUTOR LUND;41;ANDAR 10;01.513-020;LIBERDADE;SAO PAULO;SP;;(11) 3469-1818;;ATIVA;03/11/2005;;;;0.0
60598448000504;FILIAL;06/11/2008;CRUZADA BANDEIRANTE SAO CAMILO ASSISTENCIA MEDICO-SOCIAL;AMBULATORIO MED. DE ESPECIALIDADES DE SANTOS-AME SANTOS;399-9 - Associação Privada;RUA ALEXANDRE MARTINS;70;;11.025-200;APARECIDA;SANTOS;SP;jair@saocamilosede.org.br;(11) 3675-0035;;BAIXADA;27/08/2020;EXTINÇÃO POR ENCERRAMENTO LIQUIDAÇÃO VOLUNTÁRIA;;;0.0
03969808000170;MATRIZ;03/08/2000;INSTITUTO SOCRATES GUANAES - ISG;ISG;399-9 - Associação Privada;R CORONEL ALMERINDO REHEM;82;EDIF TORRE BAHIA EXEC SALA 405 406 407 408;41.820-768;CAMINHO DAS ARVORES;SALVADOR;BA;institucional@isgsaude.org;(11) 4062-8888;;ATIVA;03/11/2005;;;;0.0
61687356000130;MATRIZ;25/08/1967;SERVICO SOCIAL DA CONSTRUCAO CIVIL DO ESTADO DE SAO PAULO - SECONCI-SP;SECONCI;399-9 - Associação Privada;AV FRANCISCO MATARAZZO;74;;05.001-000;PERDIZES;SAO PAULO;SP;;;;ATIVA;28/08/2004;;;;0.0
61699567000192;MATRIZ;18/02/1971;SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;HOSPITAL SAO PAULO;399-9 - Associação Privada;R NAPOLEAO DE BARROS;715;;04.024-002;VL CLEMENTINA;SAO PAULO;SP;;;;ATIVA;03/11/2005;;;;0.0
66518267000183;MATRIZ;26/07/1991;CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM;;399-9 - Associação Privada;R DOUTOR LUND;41;ANDAR 10;01.513-020;LIBERDADE;SAO PAULO;SP;;(11) 3469-1818;;ATIVA;03/11/2005;;;;0.0
51232221000126;MATRIZ;18/05/1979;ASSOCIACAO COMUNITARIA MONTE AZUL;;399-9 - Associação Privada;R FRANCISCO XAVIER DE ABREU;483;;05.836-180;JARDIM MONTE AZUL;SAO PAULO;SP;monteazul@monteazul.org.br;(11) 5853-8080;;ATIVA;28/08/2004;;;;0.0
66518267000264;FILIAL;15/03/2005;CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM;GESTAO SAUDE DA JARDIM ANGELA E DA CAPAO REDONDO;399-9 - Associação Privada;RUA DR LUND;41;ANDAR 7;01.513-020;LIBERDADE;SAO PAULO;SP;fiscal@cejam.org.br;(11) 3469-1818;;BAIXADA;15/04/2025;EXTINÇÃO POR ENCERRAMENTO LIQUIDAÇÃO VOLUNTÁRIA;;;0.0
68311216000101;MATRIZ;22/10/1992;ASSOCIACAO SAUDE DA FAMILIA;;399-9 - Associação Privada;PC MARECHAL CORDEIRO DE FARIAS;45/65;;01.244-050;HIGIENOPOLIS;SAO PAULO;SP;contabilidade@saudedafamilia.org;(11) 3154-7070/ (11) 3529-1550;;ATIVA;03/11/2005;;;;0.0
66518267000183;MATRIZ;26/07/1991;CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM;;399-9 - Associação Privada;R DOUTOR LUND;41;ANDAR 10;01.513-020;LIBERDADE;SAO PAULO;SP;;(11) 3469-1818;;ATIVA;03/11/2005;;;;0.0
19324171000102;MATRIZ;18/11/2013;IMED - INSTITUTO DE MEDICINA, ESTUDOS E DESENVOLVIMENTO;;399-9 - Associação Privada;R ITAPEVA;202;CONJ 33;01.332-000;BELA VISTA;SAO PAULO;SP;secretaria@imed.org.br;(11) 3294-2955/ (11) 2640-0043;;ATIVA;18/11/2013;;;;0.0
33927377000140;MATRIZ;09/05/1969;CENTRO DE ESTUDOS E PESQUISAS CIENTIFICAS FRANCISCO ANTONIO DE SALLES;;399-9 - Associação Privada;AV EMBAIXADOR ABELARDO BUENO;00001;BLC 01 SAL 216B;22.775-022;JACAREPAGUA;RIO DE JANEIRO;RJ;oficios@fas.org.br;(21) 3553-0821/ (21) 9313-9665;;ATIVA;09/12/2000;;;;0.0
47969134000189;MATRIZ;30/06/1967;FUNDACAO SANTA CASA DE MISERICORDIA DE FRANCA;;306-9 - Fundação Privada;PC DOM PEDRO II;1826;;14.400-715;CENTRO;FRANCA;SP;provedoria@santacasadefranca.com.br;(16) 3711-4180/ (16) 3711-4000;;ATIVA;03/11/2005;;;;0.0
60742616000160;MATRIZ;24/08/1966;CASA DE SAUDE SANTA MARCELINA;HOSPITAL SANTA MARCELINA;399-9 - Associação Privada;R SANTA MARCELINA;177;;08.270-070;ITAQUERA;SAO PAULO;SP;;;;ATIVA;25/12/1999;;;;0.0
07345851000115;MATRIZ;31/03/2005;CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO RIO GRANDE DO SUL;;399-9 - Associação Privada;AVENIDA IDEPENDENCIA;993;;90.035-076;CENTRO;PORTO ALEGRE;RS;;(51) 3311-5140 / (51) 3242-8317;;ATIVA;31/03/2005;;;;0.0
08560973000197;MATRIZ;21/12/2006;CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO RIO DE JANEIRO;CRUZ VERMELHA BRASILEIRA FILIAL DO RIO DE JANEIRO;399-9 - Associação Privada;PC CRUZ VERMELHA;10/12;ANEXO 1;20.230-130;CENTRO;RIO DE JANEIRO;RJ;riodejaneiro@cvb.org.br;(21) 2508-6931/ (21) 7817-3105;;ATIVA;22/11/2024;;;;0.0
42498717000155;MATRIZ;30/07/1975;SECRETARIA DE ESTADO DE SAUDE - SES;RJ - GABINETE DO SECRETARIO - SES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;R BARAO DE ITAPAGIPE;225;;20.261-005;RIO COMPRIDO;RIO DE JANEIRO;RJ;;(21) 3385-9152;RJ;ATIVA;27/02/1999;;;;0.0
10946361000189;MATRIZ;02/05/2006;INSTITUTO DIRETRIZES;INSTITUTO DIRETRIZES;399-9 - Associação Privada;AVENIDA IPANEMA;165;SALA 1501;06.472-002;DEZOITO DO FORTE EMPRESARIAL/ALPHAVILLE.;BARUERI;SP;poliana@trindadegestao.com.br;(11) 7018-5821 / (11) 3565-3242;;ATIVA;02/05/2006;;;;0.0
10946361000502;FILIAL;10/06/2019;INSTITUTO DIRETRIZES;UNIDADE PRE-HOSPITALAR ZONA OESTE;399-9 - Associação Privada;AVENIDA GENERAL CARNEIRO;1670;;18.043-970;VILA LUCY;SOROCABA;SP;cadastro@somateccontabilidade.com.br;(11) 3565-3241 / (11) 4227-5078 / (11) 3565-3242;;ATIVA;10/06/2019;;;;0.0
10946361000421;FILIAL;18/03/2019;INSTITUTO DIRETRIZES;UNIDADE PRE-HOSPITALAR ZONA NORTE;399-9 - Associação Privada;AVENIDA ITAVUVU;19;;18.075-042;VILA OLIMPIA;SOROCABA;SP;cadastro@somateccontabilidade.com.br;(11) 3565-3241 / (11) 4227-5078 / (11) 4227-5078;;ATIVA;18/03/2019;;;;0.0
05413531000120;MATRIZ;26/11/2002;FUNDACAO ABM DE PESQUISA E EXTENSAO NA AREA DA SAUDE - FABAMED;FUNDACAO ABM;306-9 - Fundação Privada;AV TANCREDO NEVES;1543;SALA 1103;41.820-021;CAMINHO DAS ARVORES;SALVADOR;BA;administrativo@fabamed.org.br;(71) 3303-4528/ (71) 3033-4507;;ATIVA;26/11/2002;;;;0.0
46230439000101;MATRIZ;30/06/1981;FUNDACAO PARA O DESENVOLVIMENTO MEDICO E HOSPITALAR;;306-9 - Fundação Privada;R JOAO BUTIGNOLI;S/N;CXPST 504;18.618-220;RUBIAO JUNIOR;BOTUCATU;SP;diretoria@famesp.org.br;(14) 3881-4800;;ATIVA;24/12/2004;;;;0.0
07776237000108;MATRIZ;23/12/2005;FUNDACAO UNIVERSITARIA EVANGELICA;FUNEV;306-9 - Fundação Privada;AVENIDA BRASIL;3.700;;75.083-440;CIDADE UNIVERSITARIA;ANAPOLIS;GO;funev@funev.org.br;(62) 3318-2682 / (62) 3318-1120;;ATIVA;23/12/2005;;;;0.0
02744384000182;MATRIZ;28/07/1998;FIBRA INSTITUTO DE GESTAO E SAUDE;FIBRA - OS/RIO;399-9 - Associação Privada;RUA LUCIO DE MENDONCA;43;;20.270-040;MARACANA;RIO DE JANEIRO;RJ;serralopes@uol.com.br;(21) 2224-6053 / (21) 2224-7798 / (21) 2507-1294;;INAPTA;11/09/2018;OMISSÃO DE DECLARAÇÕES;;;0.0
55401178000136;MATRIZ;30/01/1986;FUNDACAO INSTITUTO DE PESQUISA E ESTUDO DE DIAGNOSTICO POR IMAGEM - FIDI;FIDI;306-9 - Fundação Privada;AV PAULISTA;302;ANDAR 5;01.310-000;BELA VISTA;SAO PAULO;SP;juridico@fidi.org.br;(11) 5088-7900;;ATIVA;24/08/2002;;;;0.0
02385669000174;MATRIZ;22/01/1998;FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE;FIOTEC;306-9 - Fundação Privada;AV BRASIL;4036;;21.040-361;MANGUINHOS;RIO DE JANEIRO;RJ;contabilidade@fiotec.fiocruz.br;(21) 2209-2600/ (21) 2209-2638;;ATIVA;27/08/2005;;;;0.0
43535210000197;MATRIZ;31/12/1965;IRMANDADE DA SANTA CASA DE ANDRADINA;SANTA CASA;399-9 - Associação Privada;AVENIDA GUANABARA;730;;16.901-000;CENTRO;ANDRADINA;SP;;;;ATIVA;28/07/1998;;INTERVENCAO;23/05/2023;0.0
10834118000179;MATRIZ;05/05/2009;FUNDACAO SAUDE DO ESTADO DO RIO DE JANEIRO;;126-0 - Fundação Pública de Direito Privado Estadual ou do Distrito Federal;R BARAO DE ITAPAGIPE;225;;20.261-005;RIO COMPRIDO;RIO DE JANEIRO;RJ;ana.fernandes@fs.rj.gov.br;(21) 2334-5010;RJ;ATIVA;05/05/2009;;;;0.0
42498717000155;MATRIZ;30/07/1975;SECRETARIA DE ESTADO DE SAUDE - SES;RJ - GABINETE DO SECRETARIO - SES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;R BARAO DE ITAPAGIPE;225;;20.261-005;RIO COMPRIDO;RIO DE JANEIRO;RJ;;(21) 3385-9152;RJ;ATIVA;27/02/1999;;;;0.0
57571275000100;MATRIZ;07/03/1968;FUNDACAO DO ABC;FUABC - ORGANIZACAO SOCIAL DE SAUDE;127-9 - Fundação Pública de Direito Privado Municipal;AV LAURO GOMES;2000;;09.060-870;VILA SACADURA CABRAL;SANTO ANDRE;SP;contabilidade@fuabc.org.br;(11) 2666-5400/ (11) 2666-5432;MUNICÍPIO DE SAO BERNARDO DO CAMPO;ATIVA;03/06/1998;;;;0.0
66518267000183;MATRIZ;26/07/1991;CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM;;399-9 - Associação Privada;R DOUTOR LUND;41;ANDAR 10;01.513-020;LIBERDADE;SAO PAULO;SP;;(11) 3469-1818;;ATIVA;03/11/2005;;;;0.0
31627025000143;MATRIZ;05/09/2018;FUNDACAO ESTATAL REGIONAL DE SAUDE E DESENVOLVIMENTO SOCIAL DA BACIA DO JUQUERY;FUNDASUS JUQUERY;127-9 - Fundação Pública de Direito Privado Municipal;AVENIDA DOS COQUEIROS, COMPLEXO HOSPITALAR JUQUERY;S/N;;07.850-320;CENTRO;FRANCO DA ROCHA;SP;admin@fundacaojuquery.org.br;(11) 4267-3441;FRANCO DA ROCHA - SP;ATIVA;05/09/2018;;;;0.0
46319000000150;MATRIZ;20/12/1974;MUNICIPIO DE GUARULHOS;GUARULHOS GABINETE PREFEITO;124-4 - Município;AV BOM CLIMA;90;;07.196-220;BOM CLIMA;GUARULHOS;SP;prefeito@guarulhos.sp.gov.br;(11) 2475-8641;MUNICÍPIO DE GUARULHOS;ATIVA;06/12/2003;;;;0.0
10635117000529;FILIAL;21/07/2017;INSTITUTO GNOSIS;INSTITUTO GNOSIS - FILIAL 05;399-9 - Associação Privada;AVENIDA FERNANDO FERRARI;1080;SALA 304 BLOCO TORRE CENTRAL;29.066-380;MATA DA PRAIA;VITORIA;ES;contabilidade.himaba@institutognosis.org.br;(27) 3636-3169;;ATIVA;21/07/2017;;;;0.0
07156945000146;MATRIZ;23/12/2004;IGIS - INSTITUTO DA GESTAO E INOVACAO DA SAUDE;;399-9 - Associação Privada;RUA INACIO HIGINO;673;EDIF MUBADALLA OFFICE SALA 401;29.101-087;PRAIA DA COSTA;VILA VELHA;ES;;(27) 3149-2005 / (27) 3346-2003;;ATIVA;23/12/2004;;;;0.0
20288745000105;MATRIZ;29/04/2014;INSTITUTO DE GESTAO POR RESULTADOS - IGPR;IGPR;399-9 - Associação Privada;AVENIDA D;72;QUADRAD11 LOTE 81 SALA 201;74.140-160;SET OESTE;GOIANIA;GO;contato@igpr.org.br;(62) 3954-4725;;ATIVA;29/04/2014;;;;0.0
42498717000155;MATRIZ;30/07/1975;SECRETARIA DE ESTADO DE SAUDE - SES;RJ - GABINETE DO SECRETARIO - SES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;R BARAO DE ITAPAGIPE;225;;20.261-005;RIO COMPRIDO;RIO DE JANEIRO;RJ;;(21) 3385-9152;RJ;ATIVA;27/02/1999;;;;0.0
07813739000242;FILIAL;02/07/2012;INSTITUTO DOS LAGOS - RIO;;399-9 - Associação Privada;AVENIDA BISPO DOM JOAO DA MATA;S/N;;24.722-117;SANTA LUZIA;SAO GONCALO;RJ;;(21) 3432-5300;;INAPTA;27/10/2023;OMISSÃO DE DECLARAÇÕES;;;0.0
42498717010894;FILIAL;27/08/2010;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - SAO GONCALO I;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RODOVIA AMARAL PEIXOTO;S/N;;24.753-560;VARZEA DAS MOCAS;SAO GONCALO;RJ;;(21) 2333-3705;RIO DE JANEIRO;ATIVA;27/08/2010;;;;0.0
42498717011190;FILIAL;27/08/2010;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - CAMPOS DOS GOYTACAZES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;AVENIDA SOUZA MOTA;200;;28.060-010;PARQUE FUNDAO;CAMPOS DOS GOYTACAZES;RJ;;(21) 2333-3705;RIO DE JANEIRO;ATIVA;27/08/2010;;;;0.0
42498717010975;FILIAL;27/08/2010;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - SAO GONCALO II;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;AVENIDA BISPO DOM JOAO DA MATA;S/N;;24.722-525;LARANJAL;SAO GONCALO;RJ;;(21) 2333-3705;RIO DE JANEIRO;ATIVA;27/08/2010;;;;0.0
19324171000102;MATRIZ;18/11/2013;IMED - INSTITUTO DE MEDICINA, ESTUDOS E DESENVOLVIMENTO;;399-9 - Associação Privada;R ITAPEVA;202;CONJ 33;01.332-000;BELA VISTA;SAO PAULO;SP;secretaria@imed.org.br;(11) 3294-2955/ (11) 2640-0043;;ATIVA;18/11/2013;;;;0.0
15482841000150;MATRIZ;07/05/2012;INSTITUTO MULTI GESTAO;IMG - SOLUCOES & GESTAO;399-9 - Associação Privada;RUA DO OUVIDOR;00108;SAL 201;20.040-030;CENTRO;RIO DE JANEIRO;RJ;contato@imgestao.org.br;(21) 2522-3518 / (21) 2283-0252;;ATIVA;07/05/2012;;;;0.0
10988301000633;FILIAL;25/06/2012;INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA - IMIP;IMIP - HPS;399-9 - Associação Privada;RODOVIA BR 232;S/N;KM 06;50.730-680;CURADO;RECIFE;PE;silvia.vidon@imip.org.br;(81) 2122-4144 / (81) 2122-4119 / (81) 2122-4156;;ATIVA;25/06/2012;;;;0.0
09039744000780;FILIAL;08/04/2013;FUNDACAO GESTAO HOSPITALAR MARTINIANO FERNANDES - FGH;IMIP HOSPITALAR - HDM;306-9 - Fundação Privada;AVENIDA AEROPORTO;S/N;;56.306-040;CENTRO;PETROLINA;PE;superintendenciafpmf@imip.org.br;(81) 2122-4772 / (87) 3202-7021 / (87) 3202-7084;;ATIVA;08/04/2013;;;;0.0
